Engine Size(L),Cylinders,Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km),,Vehicle Class
5,8,15.1,347,,SUV - STANDARD
5,8,21.4,342,,SUV - STANDARD
3,6,12.4,285,,SUV - STANDARD
3,6,12.4,285,,SUV - STANDARD
3,6,17.4,278,,SUV - STANDARD
5,8,15,345,,SUV - STANDARD
5,8,14.7,338,,SUV - STANDARD
5,8,20.7,331,,SUV - STANDARD
3,6,12.3,283,,SUV - STANDARD
3,6,12.3,283,,SUV - STANDARD
3,6,17.3,277,,SUV - STANDARD
5,8,15.4,354,,SUV - STANDARD
5,8,15.1,347,,SUV - STANDARD
5,8,21.4,342,,SUV - STANDARD
1.8,4,5.6,129,,COMPACT
2.5,4,6,138,,MID-SIZE
3.5,6,9.6,221,,MID-SIZE
3.5,6,10.4,239,,MID-SIZE
3.5,6,11,253,,MID-SIZE
3.5,6,7.6,175,,MID-SIZE
4.6,8,13.9,320,,SUV - STANDARD
2.5,6,9.7,223,,COMPACT
2.5,6,10.4,239,,COMPACT
2.5,6,9.7,223,,SUBCOMPACT
3.5,6,10.6,244,,COMPACT
3.5,6,11,253,,COMPACT
3.5,6,10.6,244,,SUBCOMPACT
5,8,12.6,290,,SUBCOMPACT
4.6,8,12.3,283,,MID-SIZE
4.6,8,12.9,297,,MID-SIZE
4.6,8,12.9,297,,MID-SIZE
5,8,11.4,262,,MID-SIZE
5.7,8,16.5,380,,SUV - STANDARD
3.5,6,11.7,269,,SUV - SMALL
3.5,6,11.1,255,,SUV - SMALL
3.5,6,8.2,189,,SUV - SMALL
3.5,6,11.8,271,,FULL-SIZE
3.7,6,11.3,260,,FULL-SIZE
3.5,6,12.8,294,,SUV - STANDARD
2,4,10.2,235,,SPECIAL PURPOSE VEHICLE
3.7,6,12.2,281,,SPECIAL PURPOSE VEHICLE
3.7,6,12.2,281,,SUV - SMALL
2,4,9,207,,MID-SIZE
3.7,6,11.4,262,,MID-SIZE
2,4,6.3,145,,MID-SIZE
5.4,8,16,368,,SUV - STANDARD
5.4,8,21.6,346,,SUV - STANDARD
3,6,12.7,292,,MID-SIZE
3,6,12.7,292,,MID-SIZE
4.7,8,15.1,347,,SUBCOMPACT
4.7,8,15.3,352,,SUBCOMPACT
3.8,8,14.5,334,,FULL-SIZE
3,6,13.1,301,,FULL-SIZE
2,4,8.2,189,,SUV - SMALL
2,4,8,184,,SUV - SMALL
2.5,4,8.6,198,,SUV - SMALL
2,4,8.5,196,,SUV - SMALL
2.5,4,8.9,205,,SUV - SMALL
3.7,6,12.3,283,,SUV - SMALL
3.7,6,12.6,290,,SUV - SMALL
1.5,4,7.7,177,,COMPACT
1.5,4,7.4,170,,COMPACT
2,4,6.9,159,,COMPACT
2,4,7,161,,COMPACT
2.5,4,7.4,170,,COMPACT
2.5,4,7.3,168,,COMPACT
2,4,7,161,,COMPACT
2,4,7.1,163,,MID-SIZE
2,4,7.2,166,,MID-SIZE
2.5,4,7.7,177,,MID-SIZE
2.5,4,7.3,168,,MID-SIZE
2,4,7.2,166,,MID-SIZE
2.5,4,9.7,223,,MINIVAN
2.5,4,9.8,225,,MINIVAN
2.5,4,7.6,175,,MID-SIZE
2.5,4,8.1,186,,MID-SIZE
2.5,4,7.3,168,,MID-SIZE
2,4,10.2,235,,TWO-SEATER
2,4,9.6,221,,TWO-SEATER
2,4,9.9,228,,TWO-SEATER
2,4,8,184,,STATION WAGON - SMALL
1.8,4,9.4,216,,COMPACT
1.8,4,9.4,216,,SUBCOMPACT
3.5,6,10.5,242,,COMPACT
3.5,6,14,224,,COMPACT
3.5,6,10.5,242,,COMPACT
3.5,6,10.4,239,,COMPACT
3.5,6,10.6,244,,SUBCOMPACT
3.5,6,10.5,242,,SUBCOMPACT
6.2,8,15.1,347,,COMPACT
6.2,8,15.3,352,,SUBCOMPACT
4.7,8,13.2,304,,COMPACT
5.5,8,13.4,308,,COMPACT
2,4,7.8,179,,COMPACT
2,4,9.2,212,,COMPACT
4.7,8,11.5,264,,COMPACT
5.5,8,13.1,301,,COMPACT
5.5,8,13.1,301,,COMPACT
2.1,4,7.2,194,,MID-SIZE
3.5,6,10.2,235,,MID-SIZE
3.5,6,10,230,,MID-SIZE
3.5,6,10.4,239,,SUBCOMPACT
3.5,6,10.5,242,,STATION WAGON - MID-SIZE
3.5,6,10.4,239,,SUBCOMPACT
3.5,6,10.2,235,,SUBCOMPACT
3.5,6,8.8,202,,MID-SIZE
4.7,8,11.6,267,,MID-SIZE
4.7,8,11.7,269,,SUBCOMPACT
4.7,8,11.4,262,,SUBCOMPACT
5.5,8,12.9,297,,MID-SIZE
5.5,8,13.5,310,,STATION WAGON - MID-SIZE
5.5,8,12.9,297,,MID-SIZE
5.5,8,13.5,310,,STATION WAGON - MID-SIZE
5.5,8,18.2,419,,SUV - STANDARD
5.5,8,17.7,407,,SUV - STANDARD
3,6,12,324,,SUV - STANDARD
4.7,8,15.2,350,,SUV - STANDARD
4.7,8,15.6,359,,SUV - STANDARD
5.5,8,15.8,363,,SUV - STANDARD
2.1,4,8.5,230,,SUV - SMALL
3.5,6,11.3,260,,SUV - SMALL
3.5,6,12.1,278,,SUV - STANDARD
3.5,6,16,256,,SUV - STANDARD
3,6,10.3,278,,SUV - STANDARD
4.7,8,14.2,327,,SUV - STANDARD
5.5,8,15.5,356,,SUV - STANDARD
4.7,8,12.1,278,,FULL-SIZE
4.7,8,12,276,,FULL-SIZE
5.5,8,13.2,304,,FULL-SIZE
4.7,8,11.7,269,,TWO-SEATER
5.5,8,12.7,292,,TWO-SEATER
6,8,14.2,327,,TWO-SEATER
1.8,4,8.9,205,,TWO-SEATER
1.8,4,9,207,,TWO-SEATER
3.5,6,9.8,225,,TWO-SEATER
5.5,8,10.7,246,,TWO-SEATER
6.2,8,16.5,380,,TWO-SEATER
6.2,8,15.7,361,,TWO-SEATER
6.2,8,15.7,361,,TWO-SEATER
1.6,4,7.8,179,,SUBCOMPACT
1.6,4,7.8,179,,SUBCOMPACT
1.6,4,7.8,179,,MINICOMPACT
1.6,4,7.8,179,,MINICOMPACT
1.6,4,8.7,200,,COMPACT
1.6,4,7.8,179,,COMPACT
1.6,4,7.6,175,,TWO-SEATER
1.6,4,7.3,168,,TWO-SEATER
1.6,4,8.7,200,,COMPACT
1.6,4,7.8,179,,COMPACT
1.6,4,7.8,179,,TWO-SEATER
1.6,4,7.8,179,,TWO-SEATER
1.6,4,8.3,191,,SUBCOMPACT
1.6,4,8,184,,SUBCOMPACT
1.6,4,8.3,191,,MINICOMPACT
1.6,4,8,184,,MINICOMPACT
1.6,4,9,207,,COMPACT
1.6,4,8.5,196,,COMPACT
1.6,4,8.3,191,,TWO-SEATER
1.6,4,8,184,,TWO-SEATER
1.6,4,9,207,,COMPACT
1.6,4,8.5,196,,COMPACT
1.6,4,8.3,191,,TWO-SEATER
1.6,4,8,184,,TWO-SEATER
1.6,4,8.3,191,,SUBCOMPACT
1.6,4,8,184,,SUBCOMPACT
1.6,4,8.3,191,,MINICOMPACT
1.6,4,8,184,,MINICOMPACT
1.6,4,9,207,,COMPACT
1.6,4,8.5,196,,COMPACT
1.6,4,8.3,191,,TWO-SEATER
1.6,4,8,184,,TWO-SEATER
1.6,4,9,207,,COMPACT
1.6,4,8.5,196,,COMPACT
1.6,4,8.3,191,,TWO-SEATER
1.6,4,8,184,,TWO-SEATER
2,4,8.2,189,,COMPACT
2,4,8.3,191,,COMPACT
2.4,4,9.5,218,,COMPACT
2,4,12.5,288,,COMPACT
2,4,12.3,283,,COMPACT
2,4,11.6,267,,COMPACT
2,4,8.6,198,,STATION WAGON - SMALL
2,4,8.6,198,,STATION WAGON - SMALL
1.2,3,6,138,,COMPACT
1.2,3,6.4,147,,COMPACT
2.4,4,8.6,198,,SUV - SMALL
2.4,4,9.1,209,,SUV - SMALL
3,6,10.2,235,,SUV - SMALL
2,4,8.7,200,,SUV - SMALL
2,4,8.8,202,,SUV - SMALL
2,4,9,207,,SUV - SMALL
3.7,6,11,253,,TWO-SEATER
3.7,6,11.5,264,,TWO-SEATER
3.7,6,11.4,262,,TWO-SEATER
3.7,6,11.7,269,,TWO-SEATER
2.5,4,7.6,175,,MID-SIZE
3.5,6,9.3,214,,MID-SIZE
5.6,8,16.5,380,,SUV - STANDARD
2.5,4,12.3,283,,PICKUP TRUCK - SMALL
2.5,4,11.3,260,,PICKUP TRUCK - SMALL
4,6,12.7,292,,PICKUP TRUCK - SMALL
4,6,13.7,315,,PICKUP TRUCK - SMALL
4,6,13.1,301,,PICKUP TRUCK - SMALL
3.8,6,12.9,297,,SUBCOMPACT
1.6,4,8.1,186,,STATION WAGON - SMALL
1.6,4,8.6,198,,STATION WAGON - SMALL
1.6,4,8.7,200,,STATION WAGON - SMALL
3.5,6,10.9,251,,MID-SIZE
3.5,6,11.8,271,,SUV - SMALL
2,4,9.3,214,,SPECIAL PURPOSE VEHICLE
3.5,6,10.6,244,,SUV - SMALL
3.5,6,11,253,,SUV - SMALL
2.5,4,8.8,202,,SUV - STANDARD
3.5,6,11.1,255,,MINIVAN
2.5,4,8.3,191,,SUV - SMALL
2.5,4,8.6,198,,SUV - SMALL
1.8,4,7,161,,MID-SIZE
1.8,4,7.8,179,,MID-SIZE
5.6,8,15.6,359,,PICKUP TRUCK - STANDARD
5.6,8,17.3,398,,PICKUP TRUCK - STANDARD
1.6,4,6.6,152,,COMPACT
1.6,4,7.7,177,,COMPACT
4,6,14.2,327,,SUV - SMALL
4,6,13.7,315,,SUV - SMALL
3.4,6,10.1,232,,MINICOMPACT
3.4,6,10.7,246,,MINICOMPACT
3.4,6,10.3,237,,MINICOMPACT
3.4,6,10.7,246,,MINICOMPACT
3.4,6,10.5,242,,MINICOMPACT
3.4,6,11,253,,MINICOMPACT
3.8,6,10.8,248,,MINICOMPACT
3.8,6,11,253,,MINICOMPACT
3.8,6,11,253,,MINICOMPACT
3.8,6,11.2,258,,MINICOMPACT
3.4,6,10.1,232,,MINICOMPACT
3.4,6,10.7,246,,MINICOMPACT
3.8,6,10.6,244,,MINICOMPACT
3.8,6,10.8,248,,MINICOMPACT
3.8,6,10.7,246,,MINICOMPACT
3.8,6,10.9,251,,MINICOMPACT
3.8,6,14,322,,TWO-SEATER
3.8,6,11.9,274,,MINICOMPACT
3.8,6,11.9,274,,MINICOMPACT
3.8,6,11.9,274,,MINICOMPACT
3.8,6,11.9,274,,MINICOMPACT
2.7,6,9.2,212,,TWO-SEATER
2.7,6,9.9,228,,TWO-SEATER
3.4,6,9.8,225,,TWO-SEATER
3.4,6,10.4,239,,TWO-SEATER
3.6,6,12.4,290,,SUV - STANDARD
3.6,6,13.6,313,,SUV - STANDARD
3,6,10.2,277,,SUV - STANDARD
4.8,8,14.4,338,,SUV - STANDARD
4.8,8,13.2,310,,SUV - STANDARD
3,6,10.9,251,,SUV - STANDARD
4.8,8,13.9,326,,SUV - STANDARD
4.8,8,15.2,358,,SUV - STANDARD
2.7,6,9.2,212,,TWO-SEATER
2.7,6,9.9,228,,TWO-SEATER
3.4,6,9.8,225,,TWO-SEATER
3.4,6,10.4,239,,TWO-SEATER
3.6,6,10.9,251,,FULL-SIZE
3.6,6,11.1,255,,FULL-SIZE
3,6,11.3,260,,FULL-SIZE
3,6,11.5,264,,FULL-SIZE
4.8,8,12.7,292,,FULL-SIZE
3,6,11.3,260,,FULL-SIZE
4.8,8,12.8,294,,FULL-SIZE
4.8,8,12.9,297,,FULL-SIZE
5.7,8,14.8,340,,PICKUP TRUCK - STANDARD
5.7,8,13.6,313,,PICKUP TRUCK - STANDARD
5.7,8,15.4,354,,PICKUP TRUCK - STANDARD
5.7,8,14.1,324,,PICKUP TRUCK - STANDARD
3,6,10.6,286,,PICKUP TRUCK - STANDARD
3.6,6,12.6,290,,PICKUP TRUCK - STANDARD
3.6,6,17.8,285,,PICKUP TRUCK - STANDARD
3,6,10.2,275,,PICKUP TRUCK - STANDARD
3.6,6,11.9,274,,PICKUP TRUCK - STANDARD
3.6,6,16.8,269,,PICKUP TRUCK - STANDARD
3.6,6,11.3,260,,PICKUP TRUCK - STANDARD
3.6,6,11.4,262,,MINIVAN
3.6,6,15.9,254,,MINIVAN
6.6,12,16,368,,FULL-SIZE
6.6,12,16,368,,FULL-SIZE
6.7,12,17.1,393,,FULL-SIZE
6.7,12,17.1,393,,COMPACT
6.7,12,17.1,393,,COMPACT
6.7,12,17.1,393,,FULL-SIZE
6.6,12,15.6,359,,MID-SIZE
2,4,8.4,193,,MINICOMPACT
2,4,9.5,218,,MINICOMPACT
1.3,4,6.2,143,,MINICOMPACT
2.5,4,9,207,,COMPACT
2.5,4,9,207,,COMPACT
2.4,4,9.9,228,,STATION WAGON - SMALL
2.4,4,9.9,228,,STATION WAGON - SMALL
1.8,4,8,184,,SUBCOMPACT
1.8,4,7.9,182,,SUBCOMPACT
1,3,6.4,147,,TWO-SEATER
1,3,6.4,147,,TWO-SEATER
8.4,10,16.9,389,,TWO-SEATER
8.4,10,16.9,389,,TWO-SEATER
2,4,8.5,196,,MINICOMPACT
2,4,9.6,221,,MINICOMPACT
2,4,9.5,218,,SUV - SMALL
2.5,4,8.6,198,,SUV - SMALL
2.5,4,9.7,223,,SUV - SMALL
2,4,7.8,179,,COMPACT
2,4,8.5,196,,COMPACT
2.5,4,11.2,258,,COMPACT
2.5,4,12.5,288,,COMPACT
2,4,7.8,179,,STATION WAGON - SMALL
2,4,8.5,196,,STATION WAGON - SMALL
2.5,4,11.2,258,,STATION WAGON - SMALL
2.5,4,12.5,288,,STATION WAGON - SMALL
2.5,4,8.6,198,,MID-SIZE
2.5,4,9.9,228,,MID-SIZE
3.6,6,11.6,267,,MID-SIZE
2.5,4,9,207,,SUV - SMALL
2.5,4,9.8,225,,SUV - SMALL
3.6,6,11.7,269,,SUV - SMALL
3.6,6,13.1,301,,SUV - SMALL
2,4,8.5,196,,SUV - SMALL
2,4,9.2,212,,SUV - SMALL
2,4,7.7,177,,SUV - SMALL
4,6,12.9,297,,SUV - STANDARD
4,6,12.9,297,,SUV - STANDARD
3.5,6,9.6,221,,MID-SIZE
2.5,4,8.2,189,,MID-SIZE
3.5,6,9.6,221,,MID-SIZE
2.5,4,5.7,131,,MID-SIZE
2.5,4,6,138,,MID-SIZE
1.8,4,7.7,177,,MID-SIZE
1.8,4,7.3,168,,MID-SIZE
1.8,4,7.1,163,,MID-SIZE
1.8,4,7.4,170,,MID-SIZE
1.8,4,6.8,156,,MID-SIZE
1.8,4,6.9,159,,MID-SIZE
1.8,4,8.5,196,,STATION WAGON - SMALL
1.8,4,8.2,189,,STATION WAGON - SMALL
4,6,12.9,297,,SUV - SMALL
4,6,13.9,320,,SUV - SMALL
2.7,4,10.3,237,,SUV - SMALL
3.5,6,11.2,258,,SUV - SMALL
3.5,6,11.5,264,,SUV - STANDARD
3.5,6,8.3,191,,SUV - STANDARD
3.5,6,8.2,189,,SUV - STANDARD
1.8,4,4.8,110,,MID-SIZE
1.5,4,4.7,108,,COMPACT
1.8,4,5.5,126,,STATION WAGON - MID-SIZE
2.5,4,8.9,205,,SUV - SMALL
2.5,4,9.4,216,,SUV - SMALL
2.5,4,9.5,218,,SUV - SMALL
5.7,8,16.7,384,,SUV - STANDARD
3.5,6,11.3,260,,MINIVAN
3.5,6,12.4,285,,MINIVAN
2.7,4,10.9,251,,PICKUP TRUCK - SMALL
2.7,4,10.2,235,,PICKUP TRUCK - SMALL
4,6,13.1,301,,PICKUP TRUCK - SMALL
2.7,4,11.9,274,,PICKUP TRUCK - SMALL
2.7,4,11.8,271,,PICKUP TRUCK - SMALL
4,6,13.3,306,,PICKUP TRUCK - SMALL
4,6,14,322,,PICKUP TRUCK - SMALL
4,6,13.5,310,,PICKUP TRUCK - STANDARD
4.6,8,14.3,329,,PICKUP TRUCK - STANDARD
5.7,8,15.5,356,,PICKUP TRUCK - STANDARD
4.6,8,15.1,347,,PICKUP TRUCK - STANDARD
5.7,8,16.2,373,,PICKUP TRUCK - STANDARD
2.7,4,10,230,,SUV - SMALL
3.5,6,11,253,,SUV - SMALL
2.7,4,10.2,235,,SUV - SMALL
3.5,6,11.3,260,,SUV - SMALL
1.5,4,7.3,168,,COMPACT
1.5,4,7.1,163,,COMPACT
1.8,4,8.5,196,,COMPACT
1.8,4,8.7,200,,COMPACT
2,4,9.1,209,,COMPACT
2,4,9.4,216,,COMPACT
2.5,5,9.8,225,,COMPACT
2.5,5,9.6,221,,COMPACT
2,4,7.4,200,,COMPACT
2,4,7.7,208,,COMPACT
1.8,4,8.7,200,,SUBCOMPACT
2,4,9.3,214,,SUBCOMPACT
2,4,9.4,216,,SUBCOMPACT
2.5,5,10.1,232,,SUBCOMPACT
2,4,9.7,223,,COMPACT
2,4,9.8,225,,COMPACT
3.6,6,12.3,283,,COMPACT
2,4,9.6,221,,SUBCOMPACT
2.5,5,9.5,218,,STATION WAGON - SMALL
2.5,5,9.4,216,,STATION WAGON - SMALL
2,4,7.4,198,,STATION WAGON - SMALL
2,4,7.3,196,,STATION WAGON - SMALL
1.8,4,8.2,189,,COMPACT
1.8,4,8.2,189,,COMPACT
2,4,9.4,216,,COMPACT
2,4,9,207,,COMPACT
2,4,7.4,198,,COMPACT
2,4,7.3,196,,COMPACT
2,4,9,207,,COMPACT
2,4,9.2,212,,COMPACT
1.4,4,5.4,124,,COMPACT
1.8,4,8.6,198,,MID-SIZE
1.8,4,8.6,198,,MID-SIZE
2.5,5,9.7,223,,MID-SIZE
2.5,5,9.8,225,,MID-SIZE
3.6,6,10.8,248,,MID-SIZE
2,4,6.9,180,,MID-SIZE
3.6,6,12.1,278,,MINIVAN
2,4,10.7,246,,SUV - SMALL
2,4,11.6,267,,SUV - SMALL
2,4,10.7,246,,SUV - SMALL
3.6,6,12.6,296,,SUV - STANDARD
3,6,10.2,277,,SUV - STANDARD
2.5,5,9.7,223,,COMPACT
2.5,5,10.1,232,,COMPACT
3,6,11.5,264,,COMPACT
3.2,6,10.2,235,,MID-SIZE
3,6,11.5,264,,MID-SIZE
3.2,6,11.2,258,,SUV - SMALL
3,6,11.8,271,,SUV - SMALL
3.2,6,11.5,264,,SUV - SMALL
3,6,11.8,271,,SUV - SMALL
3.2,6,11.3,260,,SUV - SMALL
3.2,6,12.8,294,,SUV - STANDARD
2,4,8.3,191,,COMPACT
2.4,4,9.3,214,,COMPACT
1.5,4,6.1,140,,COMPACT
3.5,6,11.1,255,,SUV - SMALL
3.5,6,10.6,244,,SUV - SMALL
3.5,6,10,230,,MID-SIZE
3.5,6,7.7,177,,MID-SIZE
2.4,4,8.3,191,,COMPACT
3.5,6,9.2,212,,COMPACT
3.5,6,9.6,221,,COMPACT
1.8,4,8.4,193,,TWO-SEATER
5.9,12,15.6,359,,MINICOMPACT
6,12,14.2,327,,SUBCOMPACT
4.7,8,14.7,338,,TWO-SEATER
4.7,8,15.5,356,,TWO-SEATER
4.7,8,14.7,338,,TWO-SEATER
4.7,8,15.5,356,,TWO-SEATER
6,12,16.5,379,,TWO-SEATER
4.7,8,14.7,338,,TWO-SEATER
4.7,8,15.5,356,,TWO-SEATER
6,12,14.8,340,,MINICOMPACT
1.8,4,8.7,200,,SUBCOMPACT
2,4,6.5,177,,SUBCOMPACT
2,4,8.6,198,,SUBCOMPACT
2,4,8.9,205,,SUBCOMPACT
2,4,8.9,205,,COMPACT
2,4,9.6,221,,COMPACT
2,4,9.1,209,,COMPACT
2,4,9.9,228,,STATION WAGON - SMALL
2,4,9.6,221,,SUBCOMPACT
2,4,9.1,209,,SUBCOMPACT
2,4,9.8,225,,SUBCOMPACT
2,4,10.3,237,,MID-SIZE
3,6,10.9,251,,MID-SIZE
3,6,8.1,217,,MID-SIZE
3,6,11,253,,MID-SIZE
3,6,8.1,217,,MID-SIZE
3,6,10.5,242,,MID-SIZE
4,8,10.7,246,,MID-SIZE
3,6,8.4,224,,MID-SIZE
3,6,10.5,242,,FULL-SIZE
4,8,11,258,,FULL-SIZE
6.3,12,14.6,344,,FULL-SIZE
3,6,8.4,224,,FULL-SIZE
2,4,10.3,237,,COMPACT
2,4,10.3,237,,COMPACT
2,4,10.4,239,,SUV - SMALL
3,6,11.4,262,,SUV - SMALL
3,6,9,244,,SUV - SMALL
2,4,8.9,205,,SUV - SMALL
3,6,13.3,306,,SUV - STANDARD
3,6,10.7,290,,SUV - STANDARD
4.2,8,14.2,327,,TWO-SEATER
4.2,8,16.6,382,,TWO-SEATER
5.2,10,14.8,347,,TWO-SEATER
5.2,10,16.4,377,,TWO-SEATER
4.2,8,14.2,327,,TWO-SEATER
4.2,8,16.6,382,,TWO-SEATER
5.2,10,14.8,347,,TWO-SEATER
5.2,10,16.4,377,,TWO-SEATER
4.2,8,12.8,294,,SUBCOMPACT
4.2,8,12.9,297,,SUBCOMPACT
4,8,13.3,313,,MID-SIZE
2,4,9,207,,SUBCOMPACT
3,6,11,253,,COMPACT
3,6,11.7,269,,COMPACT
3,6,11,253,,SUBCOMPACT
3,6,11.7,269,,SUBCOMPACT
3,6,11.4,262,,SUBCOMPACT
4,8,11.7,269,,MID-SIZE
4,8,11.7,269,,MID-SIZE
4,8,11.9,281,,MID-SIZE
3,6,12.2,281,,SUV - SMALL
2,4,9.1,209,,SUBCOMPACT
2,4,9.2,212,,TWO-SEATER
2,4,10.2,235,,SUBCOMPACT
2,4,10.2,235,,TWO-SEATER
4,8,13.1,307,,COMPACT
6,12,15.4,354,,COMPACT
4,8,14.4,337,,SUBCOMPACT
6,12,16,368,,SUBCOMPACT
4,8,14.2,327,,TWO-SEATER
4,8,14.2,334,,MID-SIZE
6,12,16.5,388,,MID-SIZE
6.8,8,18.2,419,,MID-SIZE
2,4,8.9,205,,SUBCOMPACT
2,4,8.4,193,,SUBCOMPACT
2,4,9,207,,SUBCOMPACT
2,4,9.1,209,,SUBCOMPACT
2,4,8.7,200,,SUBCOMPACT
2,4,8.4,193,,COMPACT
2,4,9,207,,COMPACT
2,4,8.7,200,,COMPACT
2,4,6.7,181,,COMPACT
2,4,6.7,181,,STATION WAGON - SMALL
2,4,8.4,193,,COMPACT
2,4,9,207,,COMPACT
2,4,9.1,209,,COMPACT
2,4,9.1,209,,FULL-SIZE
2,4,9.1,209,,STATION WAGON - SMALL
3,6,9.6,221,,COMPACT
3,6,9.8,225,,COMPACT
3,6,10,230,,COMPACT
3,6,10.3,237,,COMPACT
3,6,10,230,,FULL-SIZE
2,4,8.9,205,,SUBCOMPACT
2,4,8.4,193,,COMPACT
2,4,9,207,,COMPACT
2,4,8.9,205,,COMPACT
2,4,9,207,,COMPACT
2,4,9.6,221,,SUBCOMPACT
2,4,9.1,209,,COMPACT
2,4,9.1,209,,COMPACT
3,6,9.9,228,,SUBCOMPACT
3,6,9.6,221,,COMPACT
3,6,9.8,225,,COMPACT
3,6,9.6,221,,COMPACT
3,6,10.3,237,,SUBCOMPACT
3,6,10,230,,COMPACT
3,6,10.3,237,,COMPACT
3,6,10,230,,COMPACT
2,4,8.9,205,,MID-SIZE
2,4,9.1,209,,MID-SIZE
3,6,7.9,213,,MID-SIZE
3,6,10.3,237,,MID-SIZE
3,6,11,253,,FULL-SIZE
4.4,8,12.3,283,,MID-SIZE
4.4,8,12.8,294,,FULL-SIZE
3,6,10.3,237,,SUBCOMPACT
3,6,10.3,237,,COMPACT
4.4,8,12.8,294,,SUBCOMPACT
4.4,8,12.3,283,,COMPACT
4.4,8,12.8,294,,COMPACT
3,6,8.8,238,,FULL-SIZE
3,6,10.3,237,,FULL-SIZE
4.4,8,12.8,294,,FULL-SIZE
4.4,8,12.8,294,,FULL-SIZE
6,12,15.5,356,,FULL-SIZE
3,6,8.7,200,,COMPACT
3,6,9.4,216,,MID-SIZE
3,6,9.3,214,,FULL-SIZE
4.4,8,12.8,294,,COMPACT
4.4,8,12.8,294,,FULL-SIZE
4.4,8,12.8,294,,FULL-SIZE
3,6,10.2,235,,SUBCOMPACT
3,6,10.8,248,,SUBCOMPACT
3,6,10.2,235,,SUBCOMPACT
3,6,10.4,239,,SUBCOMPACT
3,6,10,230,,SUBCOMPACT
3,6,12.1,278,,COMPACT
3,6,11.6,267,,COMPACT
3,6,12.1,278,,SUBCOMPACT
3,6,11.8,271,,SUBCOMPACT
3,6,12.1,278,,COMPACT
3,6,11.6,267,,COMPACT
4.4,8,14.7,338,,MID-SIZE
4.4,8,13.7,315,,MID-SIZE
4.4,8,14.7,338,,SUBCOMPACT
4.4,8,13.7,315,,SUBCOMPACT
4.4,8,14.7,338,,COMPACT
4.4,8,13.7,315,,COMPACT
4.4,8,14.7,338,,COMPACT
4.4,8,13.7,315,,COMPACT
2,4,9.1,209,,SUV - SMALL
3,6,11.2,258,,SUV - SMALL
2,4,7.9,213,,SUV - SMALL
2,4,9.9,228,,SUV - SMALL
3,6,10.9,251,,SUV - SMALL
2,4,10.2,235,,SUV - SMALL
3,6,10.9,251,,SUV - SMALL
4.4,8,14.6,336,,SUV - STANDARD
3,6,8.7,235,,SUV - STANDARD
3,6,11.1,255,,SUV - STANDARD
4.4,8,13.8,317,,SUV - STANDARD
4.4,8,14.6,336,,SUV - STANDARD
3,6,11.1,255,,SUV - STANDARD
4.4,8,13.8,317,,SUV - STANDARD
2,4,9.1,209,,TWO-SEATER
2,4,9,207,,TWO-SEATER
3,6,12.1,278,,TWO-SEATER
3,6,11,253,,TWO-SEATER
3,6,12.1,278,,TWO-SEATER
3.6,6,12.3,283,,SUV - STANDARD
3.6,6,12.6,290,,SUV - STANDARD
1.4,4,8.5,196,,SUV - SMALL
1.4,4,9.2,212,,SUV - SMALL
3.6,6,11.4,262,,MID-SIZE
3.6,6,15.8,253,,MID-SIZE
3.6,6,11.7,269,,MID-SIZE
3.6,6,15.9,254,,MID-SIZE
2.4,4,8.2,189,,MID-SIZE
2,4,9.8,225,,MID-SIZE
2,4,9.8,225,,MID-SIZE
2,4,10.7,246,,MID-SIZE
2.4,4,8.2,189,,MID-SIZE
2,4,9.8,225,,COMPACT
2,4,9.8,225,,COMPACT
2.4,4,9.4,216,,COMPACT
2,4,9.7,223,,COMPACT
2,4,10.3,237,,COMPACT
2.5,4,9.3,214,,COMPACT
3.6,6,10.8,248,,COMPACT
2,4,10.2,235,,COMPACT
3.6,6,11,253,,COMPACT
2,4,9.9,228,,MID-SIZE
3.6,6,10.7,246,,MID-SIZE
2,4,10.6,244,,MID-SIZE
3.6,6,11,253,,MID-SIZE
3.6,6,12.7,292,,MID-SIZE
6.2,8,14,322,,SUV - STANDARD
6.2,8,13.8,317,,SUV - STANDARD
6.2,8,14.5,334,,SUV - STANDARD
6.2,8,14.3,329,,SUV - STANDARD
3.6,6,12.3,283,,SUV - STANDARD
3.6,6,12.8,294,,SUV - STANDARD
3.6,6,11.3,260,,FULL-SIZE
3.6,6,11.6,267,,FULL-SIZE
3.6,6,12.6,290,,FULL-SIZE
3.6,6,11.3,260,,COMPACT
3.6,6,11.5,265,,COMPACT
6.2,8,12.8,294,,COMPACT
6.2,8,12.7,292,,COMPACT
3.6,6,10.5,242,,COMPACT
6.2,8,15.5,357,,COMPACT
6.2,8,16.8,386,,COMPACT
6.2,8,14.7,338,,COMPACT
2,4,9.4,216,,SPECIAL PURPOSE VEHICLE
2.5,4,10.5,242,,PICKUP TRUCK - SMALL
2.5,4,10.8,248,,PICKUP TRUCK - SMALL
3.6,6,11.3,260,,PICKUP TRUCK - SMALL
2.5,4,11.3,260,,PICKUP TRUCK - SMALL
3.6,6,11.8,271,,PICKUP TRUCK - SMALL
6.2,8,11.7,269,,TWO-SEATER
6.2,8,11.2,258,,TWO-SEATER
6.2,8,14.3,329,,TWO-SEATER
6.2,8,13.4,308,,TWO-SEATER
1.4,4,7.8,179,,MID-SIZE
1.4,4,7.8,179,,MID-SIZE
